"collection_id","seed_id","collection_no","collection_date","mission_no","collectors","collection_source","collection_note"
"1","1","P/Y/P/2","06-02-04","1","Ugyen Phuntsho","Farm store",
"2","2","P/Y/B/3","06-02-04","1","Ugyen Phuntsho","Farm store",
"3","3","P/Y/B/4","06-02-04","1","Ugyen Phuntsho","Farm store",
"4","4","P/Y/P/5","06-02-04","1","Ugyen Phuntsho","Farm store",
"5","5","P/Y/P/6","06-02-04","1","Ugyen Phuntsho","Farm store",
"6","6","P/Y/K/7","06-02-04","1","Ugyen phuntsho","Farm store",
"7","7","P/Y/K/8","06-02-04","1","Ugyen Phuntsho","Farm store",
"8","8","P/Y/K/9","06-02-04","1","Ugyen Phuntsho","Farm store",
"9","9","P/Y/K/10","06-02-04","1","Ugyen Phuntsho","Farm store","Rejected"
"10","10","P/Y/K/11","06-02-04","1","Ugyen Phuntsho","Farm store",
"11","11","P/Y/G/1","06-02-04","1","Ugyen Phuntsho","Farm store",
"12","12","P/Y/K/12","06-02-04","1","Ugyen Phuntsho","Farm store",
"13","13","P/Y/K/13","06-02-04","1","Ugyen Phuntsho","Farm store",
"14","14","P/Y/K/14","06-02-04","1","Ugyen Phuntsho","Farm store",
"15","15","P/Y/K/15","06-02-04","1","Ugyen Phuntsho","Farm store",
"16","16","P/Y/K/16","06-02-04","1","Ugyen Phuntsho","Farm store",
"17","17","P/Y/K/17","06-02-04","1","Ugyen Phuntsho","Farm store",
"18","18","P/Y/K/18","06-02-04","1","Ugyen Phuntsho","Farm store",
"19","19","P/Y/B/19","06-02-04","1","Ugyen Phuntsho","Farm store",
"20","20","P/Y/K/20","06-02-04","1","Ugyen Phuntsho","Farm store",
"21","21","P/Y/B/21","06-02-04","1","Ugyen Phuntsho","Farm store",
"22","22","P/Y/T/75","09-02-04","1","Cheki Wangmo","Farm store",
"23","23","P/Y/K/58","09-02-04","1","Cheki Wangmo","Farm store",
"24","24","P/Y/K/59","09-02-04","1","Cheki Wangmo","Farm store",
"25","25","P/Y/P/60","09-02-04","1","Cheki Wangmo","Farm store",
"26","26","P/Y/P/61","09-02-04","1","Cheki wangmo","Farm store",
"27","27","P/Y/Y/62","09-02-04","1","Cheki Wangmo","Farm store",
"28","28","P/Y/Y/63","09-02-04","1","Cheki Wangmo","Farm store",
"29","29","P/S/D/64","19/02/2004","1","Cheki Wangmo","Farm store",
"30","30","P/S/D/65","19/02/2004","1","Cheki Wangmo","Farm store",
"31","31","P/S/D/66","19/02/2004","1","Cheki wangmo","Farm store",
"32","32","P/S/D/67","19/02/2004","1","Cheki Wangmo","Farm store",
"33","33","P/Y/K/22","06-02-04","1","Cheki Wangmo","Farm store",
"34","34","P/Y/K/23","06-02-04","1","Ugyen Phuntsho","Farm store",
"35","35","P/Y/B/24","06-02-04","1","Ugyen Phuntsho","Farm store",
"36","36","P/Y/K/25","06-02-04","1","Ugyen Phuntsho","Farm store",
"37","37","P/Y/K/26","06-02-04","1","Ugyen Phuntsho","Farm store",
"38","38","P/Y/K/27","06-02-04","1","Ugyen Phuntsho","Farm store",
"39","39","P/Y/K/28","06-02-04","1","Cheki Wangmo","Farm store",
"40","40","P/Y/W/29","06-02-04","1","Cheki Wangmo","Farm store",
"41","41","P/Y/W/30","06-02-04","1","Cheki Wangmo","Farm store",
"42","42","P/Y/B/31","08-02-04","1","Cheki Wangmo","Farm store",
"43","43","P/Y/N/32","08-02-04","1","Cheki Wangmo","Farm store",
"44","44","P/Y/R/33","09-02-04","1","Cheki Wangmo","Farm store",
"45","45","P/Y/D/34","09-02-04","1","Cheki Wangmo","Farm store",
"46","46","P/Y/D/35","09-02-04","1","Cheki Wangmo","Farm store",
"47","47","P/Y/D/36","09-02-04","1","Cheki wangmo","Farm store",
"48","48","P/Y/B/37","09-02-04","1","Cheki Wangmo","Farm store",
"49","49","P/Y/B/38","09-02-04","1","Cheki Wangmo","Farm store",
"50","50","P/Y/B/39","09-02-04","1","Cheki Wangmo","Farm store",
"51","51","P/Y/B/40","09-02-04","1","Cheki Wangmo",,
"52","52","P/Y/T/41","09-02-04","1","Cheki Wangmo","Farm store",
"53","53","P/Y/D/42","09-02-04","1","Cheki Wangmo","Farm store",
"54","54","P/Y/D/43","09-02-04","1","Cheki Wangmo","Farm store",
"55","55","P/Y/D/44","09-02-04","1","Cheki Wangmo","Farm store",
"56","56","P/Y/D/45","09-02-04","1","Cheki wangmo","Farm store",
"57","57","P/Y/D/46","09-02-04","1","Cxheki Wangmo","Farm store",
"58","58","P/Y/D/47","09-02-04","1","Cheki Wangmo","Farm store",
"59","59","P/Y/D/48","09-02-04","1","Cheki Wangmo","Farm store",
"60","60","P/Y/T/49","09-02-04","1","Cheki Wangmo","Farm store",
"61","61","P/Y/T/50","09-02-04","1","Cheki Wangmo","Farm store",
"62","62","P/Y/T/51","09-02-04","1","Cheki Wangmo","Farm store",
"63","63","P/Y/T/52","09-02-04","1","Cheki Wangmo","Farm store",
"64","64","P/Y/T/53","09-02-04","1","Cheki Wangmo","Farm store",
"65","65","P/Y/T/54","09-02-04","1","Cheki Wangmo","Farm store",
"66","66","P/Y/B/55","09-02-04","1","Cheki Wangmo","Farm store",
"67","67","P/Y/B/56","09-02-04","1","Cheki Wangmo","Farm store",
"68","68","P/S/D/68","19/02/2004","1","Cheki Wangmo","Farm store",
"69","69","P/S/D/69","19/02/2004","1","Cheki Wangmo","Farm store",
"70","70","P/S/D/70","19/02/2004","1","Cheki Wangmo","Farm store",
"71","71","P/S/D/71","19/02/2004","1","Cheki Wangmo","Farm store","Rejected"
"72","72","P/S/D/72","19/02/2004","1","Cheki Wangmo","Farm store",
"73","73","P/S/D/73","19/02/2004","1","Cheki Wangmo","Farm store",
"74","74","P/S/K/74","19/02/2004","1","Cheki Wangmo","Farm store","Rejected"
"75","75","P/S/K/75","19/02/2004","1","Cheki Wangmo","Farm store",
"76","76","P/S/K/76","19/02/2004","1","Cheki Wangmo","Farm store",
"77","77","P/S/K/77","19/02/2004","1","Cheki Wangmo","Farm store",
"78","78","P/S/K/78","19/02/2004","1","Cheki Wangmo","Farm store",
"79","79","P/S/K/79","19/02/2004","1","Cheki Wangmo","Farm store",
"80","80","P/S/K/80","19/02/2004","1","Cheki Wangmo","Farm store",
"81","81","P/S/K/81","19/02/2004","1","Cheki Wangmo","Farm store",
