"cult_id","seed_id","cult_practice","nursery_time","plant_season","harvest_season","crop_system","s_status"
"1","1","Rainfed","2","December","January","Rotation","Landrace"
"2","2","Rainfed",,,,,"Landrace"
"3","3","Rainfed",,,,,"Landrace"
"4","4","Rainfed",,,,"Mixed cropping","Landrace"
"5","5","Rainfed",,,,"Rotation","Landrace"
"6","6","Rainfed",,,,"Rotation","Landrace"
"7","7","Rainfed",,,,,"Landrace"
"8","8","Rainfed",,,,,"Landrace"
"9","9","Rainfed",,,,,"Landrace"
"10","10","Rainfed",,,,"Mixed cropping","Landrace"
"11","11","Rainfed",,,,,"Landrace"
"12","12","Rainfed",,,,,"Landrace"
"13","13","Rainfed",,,,,"Landrace"
"14","14",,,,,,"Landrace"
"15","15",,,,,,"Landrace"
"16","16",,,,,,"Landrace"
"17","17","Rainfed",,,,,"Landrace"
"18","18","Rainfed",,,,,"Landrace"
"19","19","Rainfed",,,,,"Landrace"
"20","20","Rainfed",,,,,"Landrace"
"21","21","Rainfed",,,,,"Landrace"
"22","22","Rainfed",,,,,"Landrace"
"23","23","Rainfed",,,,,"Landrace"
"24","24","Rainfed",,,,,"Landrace"
"25","25","Rainfed",,,,,"Landrace"
"26","26","Rainfed",,,,,"Landrace"
"27","27","Rainfed",,,,,"Landrace"
"28","28","Rainfed",,,,,"Landrace"
"29","29","Rainfed",,,,"Mixed cropping","Landrace"
"30","30",,,,,,"Landrace"
"31","31","Rainfed",,,,,"Landrace"
"32","32","Rainfed",,,,,"Landrace"
"33","33","Rainfed",,,,,"Landrace"
"34","34","Rainfed",,,,,"Landrace"
"35","35","Rainfed",,,,,
"36","36","Rainfed",,,,,"Landrace"
"37","37","Rainfed",,,,,"Landrace"
"38","38","Rainfed",,,,,"Landrace"
"39","39",,,,,,"Landrace"
"40","40","Rainfed",,,,,"Landrace"
"41","41","Rainfed",,,,,"Landrace"
"42","42","Rainfed",,,,,"Landrace"
"43","43","Rainfed",,,,,"Landrace"
"44","44","Irrigated",,,,,"Landrace"
"45","45","Irrigated",,,,,"Landrace"
"46","46","Rainfed",,,,,"Landrace"
"47","47","Rainfed",,,,,"Landrace"
"48","48","Rainfed",,,,,"Landrace"
"49","49","Rainfed",,,,,"Landrace"
"50","50","Rainfed",,,,,"Landrace"
"51","51","Rainfed",,,,,"Landrace"
"52","52","Rainfed",,,,,"Landrace"
"53","53",,,,,,"Landrace"
"54","54","Rainfed",,,,,"Landrace"
"55","55","Rainfed",,,,,"Landrace"
"56","56",,,,,,"Landrace"
"57","57","Rainfed",,,,,"Landrace"
"58","58","Rainfed",,,,,"Landrace"
"59","59","Rainfed",,,,,"Landrace"
"60","60","Rainfed",,,,,"Landrace"
"61","61","Rainfed",,,,,"Landrace"
"62","62","Rainfed",,,,,"Landrace"
"63","63","Rainfed",,,,,"Landrace"
"64","64","Rainfed",,,,,"Landrace"
"65","65","Rainfed",,,,,"Landrace"
"66","66","Rainfed",,,,,"Landrace"
"67","67","Rainfed",,,,,"Landrace"
"68","68","Rainfed",,,,,"Landrace"
"69","69","Rainfed",,,,,"Landrace"
"70","70","Rainfed",,,,,"Landrace"
"71","71","Rainfed",,,,,"Landrace"
"72","72","Rainfed",,,,,"Landrace"
"73","73","Rainfed",,,,,"Landrace"
"74","74","Rainfed",,,,,"Landrace"
"75","75","Rainfed",,,,,"Landrace"
"76","76","Rainfed",,,,,"Landrace"
"77","77","Rainfed",,,,,"Landrace"
"78","78","Rainfed",,,,,"Landrace"
"79","79","Rainfed",,,,,"Landrace"
"80","80","Rainfed",,,,,"Landrace"
"81","81","Rainfed",,,,,"Landrace"
"82","82","Rainfed",,,,,"Landrace"
"83","83","Rainfed",,,,,"Landrace"
"84","84","Rainfed",,,,,"Landrace"
"85","85","Rainfed",,,,"December","Landrace"
"86","86","Rainfed",,,,,"Landrace"
"87","87","Rainfed",,,,,"Landrace"
"88","88","Rainfed",,,,,"Landrace"
"89","89","Rainfed",,,,,"Landrace"
"90","90","Rainfed",,,,,"Landrace"
"91","91","Rainfed",,,,,"Landrace"
"92","92","Rainfed",,,,,"Landrace"
"93","93","Rainfed",,,,,"Landrace"
"94","94","Rainfed",,,,,"Landrace"
"95","95","Rainfed",,,,,"Landrace"
"96","96","Rainfed",,,,,"Landrace"
