"distribution_id","accession_no","customer_id","di_user_id","request_date","supplied_date","packet_type","quantity_supplied","purpose","remarks","stored_date"
"1","BTNC36","1","1","20-Jun-11","23-Jun-11","User Sample","30",,"Supplied for collaborative research between CNR an","Old Data"
"2","BTNC29","2","1","15-Mar-12","08-Sep-12","User Sample","30",,"Nill","Old Data"
"3","BTNC63","3","1","05-Mar-12","08-Jul-12","User Sample","30",,"Nill","Old Data"
"4","BTNC71","4","1","05-Mar-12","08-Jul-12","User Sample","30",,"Nill","Old Data"
"5","BTNC170","5","1","05-Mar-12","08-Jul-12","User Sample","30",,"Nill","Old Data"
"6","BTNC358","6","1","05-Mar-12","08-Jul-12","User Sample","30",,"Nill","Old Data"
"7","BTNC371","7","1","05-Mar-12","08-Jul-12","User Sample","30",,"Nill","Old Data"
"8","BTNC372","8","1","05-Mar-12","08-Jul-12","User Sample","30",,"Nill","Old Data"
"9","BTNC384","9","1","05-Mar-12","08-Jul-12","User Sample","30",,"Nill","Old Data"
"10","BTNC320","10","1","05-Mar-12","08-Jul-12","User Sample","30",,"Nill","Old Data"
"11","BTNC488","11","1","05-Mar-12","08-Jul-12","User Sample","30",,"Nill","Old Data"
"12","BTNC720","12","1","05-Mar-12","08-Jul-12","User Sample","30",,"Nill","Old Data"
"13","BTNC827","13","1","05-Mar-12","08-Jul-12","User Sample","30",,"Nill","Old Data"
"14","BTNC894","14","1","05-Mar-12","08-Jul-12","User Sample","30",,"Nill","Old Data"
"15","BTNC1118","15","1","05-Mar-12","08-Jul-12","User Sample","30",,"Nill","Old Data"
"16","BTNC1119","16","1","05-Mar-12","08-Jul-12","User Sample","30",,"Nill","Old Data"
"17","BTNC1120","17","1","05-Mar-12","08-Jul-12","User Sample","30",,"Nill","Old Data"
"18","BTNC1121","18","1","05-Mar-12","08-Jul-12","User Sample","30",,"Nill","Old Data"
"19","BTNC1122","19","1","05-Mar-12","08-Jul-12","User Sample","30",,"Nill","Old Data"
"20","BTNC1123","20","1","05-Mar-12","08-Jul-12","User Sample","30",,"Nill","Old Data"
"21","BTNC1124","21","1","05-Mar-12","08-Jul-12","User Sample","30",,"Nill","Old Data"
