"field_id","donor_id","altitude","latitude","longitude","topography","soil_colour","soil_texture"
"1","1","1520","27?03.19N","0",,,
"2","2","0","0","0",,,
"3","3","0","0","0",,,
"4","4","0","0","0",,,
"5","5","0","0","0",,,
"6","6","0","0","0",,,
"7","7","0","0","0",,,
"8","8","0","0","0",,,
"9","9","0","0","0",,,
"10","10","0","0","0",,,
"11","11","1520","27? 03.19N","191? 70.93E",,,
"12","12","0","0","0",,,
"13","13","0","0","0",,,
"14","14","0","0","0",,,
"15","15","0","0","0",,,
"16","16","0","0","0",,,
"17","17","0","0","0",,,
"18","18","0","0","0",,,
"19","19","0","0","0",,,
"20","20","0","0","0",,,
"21","21","0","0","0",,,
"22","22","1440","0","0",,,
"23","23","1430","0","0",,,
"24","24","0","0","0",,,
"25","25","2000","0","0",,,
"26","26","0","0","0",,,
"27","27","0","0","0",,,
"28","28","0","0","0",,,
"29","29","1000","0","0",,,
"30","30","1000","0","0",,,
"31","31","1000","0","0",,,
"32","32","1000","0","0",,,
"33","33","0","0","0",,,
"34","34","0","0","0",,,
"35","35","0","0","0",,,
"36","36","1520","0","0",,,
"37","37","0","0","0",,,
"38","38","0","0","0",,,
"39","39","0","0","0",,,
"40","40","0","0","0",,,
"41","41","0","0","0",,,
"42","42","14580","0","0",,,
"43","43","0","0","0",,,
"44","44","0","0","0",,,
"45","45","1420","27?01.49N","091?20.49E",,,
"46","46","1420","27?01.49N","091?20.49E",,,
"47","47","1420","27?01.49N","091?20.49E",,,
"48","48","1700","0","0",,,
"49","49","1700","0","0",,,
"50","50","1700","0","0",,,
"51","51","1700","0","0",,,
"52","52","1500","0","0",,,
"53","53","0","0","0",,,
"54","54","0","0","0",,,
"55","55","0","0","0",,,
"56","56","0","0","0",,,
"57","57","0","0","0",,,
"58","58","0","0","0",,,
"59","59","0","0","0",,,
"60","60","0","0","0",,,
"61","61","0","0","0",,,
"62","62","0","0","0",,,
"63","63","0","0","0",,,
"64","64","1500","0","0",,,
"65","65","1500","0","0",,,
"66","66","1800","0","0",,,
"67","67","1800","0","0",,,
"68","68","1000","0","0",,,
"69","69","1000","0","0",,,
"70","70","1000","0","0",,,
"71","71","1000","0","0",,,
"72","72","1000","0","0",,,
"73","73","1000","0","0",,,
"74","74","1020","0","0",,,
"75","75","1020","0","0",,,
"76","76","1020","0","0",,,
"77","77","1020","0","0",,,
"78","78","1020","0","0",,,
"79","79","1020","0","0",,,
"80","80","1020","0","0",,,
"81","81","1020","0","0",,,
"82","82","1060","0","0",,,
"83","83","1060","0","0",,,
"84","84","1060","0","0",,,
"85","85","1060","0","0",,,
"86","86","1060","0","0",,,
"87","87","0","0","0",,,
"88","88","1060","0","0",,,
"89","89","1060","0","0",,,
"90","90","1060","0","0",,,
"91","91","1060","0","0",,,
"92","92","1060","0","0",,,
"93","93","1160","0","0",,,
"94","94","1060","0","0",,,
"95","95","1060","0","0",,,
"96","96","1060","0","0",,,
"97","97","980","0","0",,,
"98","98","1060","0","0",,,
"99","99","0","0","0","Null","Nill","Null"
"100","100","980","0","0",,,
"101","101","980","0","0",,,
"102","102","980","0","0",,,
"103","103","980","0","0",,,
"104","104","980","0","0",,,
"105","105","980","0","0",,,
"106","106","980","0","0",,,
"107","107","980","0","0",,,
"108","108","980","0","0",,,
"109","109","980","0","0",,,
"110","110","980","0","0",,,
"111","111","980","0","0",,,
"112","112","980","0","0",,,
"113","113","733","26?51.91N","089?25.11E","Slopy","Black",
"114","114","1120","0","0",,,
"115","115","1130","0","0",,,
"116","116","1130","0","0",,,
"117","117","1130","0","0",,,
"118","118","1130","0","0",,,
"119","119","980","0","0",,,
"120","120","980","0","0",,,
"121","121","980","0","0",,,
"122","122","980","0","0",,,
"123","123","1060","0","0",,,
"124","124","1120","0","0",,,
"125","125","1120","0","0",,,
"126","126","1120","0","0",,,
"127","127","1120","0","0",,,
"128","128","1960","27?02.7N","091?28.74E",,,
"129","129","1960","27?02.7N","091?28.74E",,,
"130","130","1960","0","0",,,
"131","131","1960","0","0",,,
"132","132","1980","0","0",,,
"133","133","1980","0","0",,,
"134","134","1950","0","0",,,
"135","135","1960","0","0",,,
"136","136","1980","0","0",,,
"137","137","0","0","0",,,
"138","138","1960","0","0",,,
"139","139","1960","0","0",,,
"140","140","1960","0","0",,,
"141","141","1960","0","0",,,
"142","142","1960","0","0",,,
"143","143","1960","0","0",,,
"144","144","1960","0","0",,,
"145","145","1960","0","0",,,
"146","146","1300","0","0",,,
"147","147","1300","0","0",,,
"148","148","1300","0","0","SLopy",,
"149","149","1300","0","0",,,
"150","150","1300","0","0",,,
"151","151","1300","0","0",,,
"152","152","1300","0","0",,,
"153","153","0","0","0",,,
"154","154","1300","0","0",,,
"155","155","1300","0","0",,,
"156","156","1300","0","0",,,
"157","157","1300","0","0",,,
"158","158","1300","0","0",,,
"159","159","1300","0","0",,,
"160","160","1300","0","0",,,
"161","161","0","0","0",,,
"162","162","1300","0","0",,,
"163","163","1300","0","0",,,
"164","164","1300","0","0",,,
"165","165","1300","0","0",,,
"166","166","1200","0","0",,,"Sandyy"
"167","167","1200","0","0",,,
"168","168","1450","0","0",,"Black",
"169","169","1450","0","0",,"Black",
"170","170","1450","0","0","Plain or flat","Black",
"171","171","1450","0","0","Plain or flat","Black",
"172","172","1450","0","0","Plain or flat","Black",
"173","173","1450","0","0","Plain or flat","Black",
"174","174","1450","0","0","Plain or flat","Black",
"175","175","1450","0","0","Plain or flat","Black",
"176","176","1450","0","0","Plain or flat",,
"177","177","1200","0","0",,,
"178","178","1200","0","0",,,
"179","179","1200","0","0",,,
"180","180","1200","0","0",,,
"181","181","1200","0","0",,,
"182","182","1200","0","0",,,
"183","183","1200","0","0",,,
"184","184","1300","0","0",,,
"185","185","1300","0","0",,,
"186","186","1300","0","0",,,
"187","187","1450","0","0","Plain or flat","Black",
"188","188","1450","0","0","Plain or flat","Black",
"189","189","1450","0","0","Plain or flat","Black",
"190","190","1450","0","0","Plain or flat","Black",
"191","191","1450","0","0",,"Black",
"192","192","1450","0","0","Plain or flat","Black",
"193","193","1450","0","0",,"Black",
"194","194","1450","0","0",,"Black",
"195","195","1450","0","0",,"Black",
"196","196","1000","0","0","Steep Slopy","Black",
"197","197","1000","0","0","Steep Slopy","Black",
"198","198","1450","0","0","Plain or flat","Black","Loam"
"199","199","1450","0","0","Plain or flat","Black",
"200","200","1450","0","0",,"Black",
"201","201","1000","0","0","Plain or flat","Black",
"202","202","1450","0","0","Plain or flat","Black",
"203","203","1450","0","0","Plain or flat","Black",
"204","204","1450","0","0","Plain or flat","Black",
"205","205","1450","0","0","Plain or flat","Black",
"206","206","1450","0","0",,"Black",
"207","207","300","0","0",,,"Sandyy loam"
"208","208","1300","0","0",,,"Sandyy loam"
"209","209","1500","0","0",,,
"210","210","1500","0","0",,,
"211","211","1500","0","0",,,
"212","212","1500","0","0",,,
"213","213","1500","0","0",,,
"214","214","1500","0","0",,,
"215","215","1500","0","0",,,
"216","216","1400","0","0",,,
"217","217","1400","0","0",,,
"218","218","1450","0","0",,"Black",
"219","219","1450","0","0","Plain or flat","Black",
"220","220","1450","0","0","Plain or flat","Black",
"221","221","1450","0","0",,"Black",
