"id","accession_no","seed_id","type","gb_user_id","gv_weight","gv_packet","mr_weight","mr_packet","r_weight","r_packet","b_location_1","b_location_2","us_weight","us_packet","us_location","d_weight","d_packet","d_location_1","d_location_2","c_weight","c_packet","c_location","packing_date","transfer_date"
"1","BTNC1","297","passport","1","180","3","160","2","20","1","B1R1C1",,"160","2","A1T1C1","160","2","D1T1C1",,"10","2","D1T1C1","31-Jan-05","31-Jan-05"
"2","BTNC2","286","passport","1","450","3","160","2","100","2","B1R1C1",,"200","1","A1T1C1","100","2","D1T1C1",,"40","1","B1R1C1","09-Mar-05","09-Mar-05"
"3","BTNC3","569","passport","1","360","3","320","2","40","1","B1R1C1",,"160","2","A1T1C1","80","2","D1T1C1",,"40","1","B1R1C1","10-Mar-05","10-Mar-05"
"4","BTNC4","210","passport","1","360","3","360","3","40","1","B1R1C1",,"480","2","A1T1C1","80","2","D1T1C1",,"40","1","B1R1C1","10-Mar-05","10-Mar-05"
"5","BTNC5","478","passport","1","160","2","360","3","40","1","B1R1C1",,"240","2","A1T1C1","80","2","D1T1C1",,"10","1","B1R1C1","11-Mar-05","11-Mar-05"
"6","BTNC6","300","passport","1","200","2","300","3","50","1",,,"49","1","A1T1C1","50","2","D1T1C1",,"40","1","B1R1C1","25-Apr-05","25-Apr-05"
"7","BTNC7","686","passport","1","450","3","200","2","78","1","B1R1C2",,"300","2","A1T1C1","100","2","D1T1C1",,"50","1","B1R1C1","01-Apr-05","01-Apr-05"
"8","BTNC8","490","passport","1","450","3","200","2","111","1","B1R1C2",,"300","2","A1T1C1","100","2","D1T1C1",,"100","2","B1R1C1","25-Apr-05","25-Apr-05"
"9","BTNC9","436","passport","1","450","3","200","2","118","1","B1R1C2",,"300","2","A1T1C1","100","2","D1T1C1",,"100","2","B1R1C1","25-Apr-05","25-Apr-05"
"10","BTNC10","18","passport","1","200","2","200","2","111","1","B1R1C2",,"200","2","A1T1C1","100","2","D1T1C1",,"100","1","B1R1C1","25-Apr-05","25-Apr-05"
"11","BTNC11","558","passport","1","200","2","50","1","41","1","B1R1C2",,"200","2","A1T1C1","100","2","D1T1C1",,"50","1","B1R1C1","26-Apr-05","26-Apr-05"
"12","BTNL12","111","passport","1","120","2","240","2","230","1","B1R1C2",,"360","2","A1T1C1","160","2","D1T1C1",,"120","2","B1R1C1","26-Apr-05","26-Apr-05"
"13","BTNC13","612","passport","1","160","2","240","2","446","2","B1R1C2",,"264","2","A1T1C1","80","2","D1T1C1",,"50","2","B1R1C1","27-Apr-05","27-Apr-05"
