"gewog_id","dzongkhag_id","gewog_name"
"1","1","Chhoekhor"
"2","1","Chummy"
"3","1","Tang"
"4","1","Ura"
"5","2","Bjabchho"
"6","2","Bongo"
"7","2","Darla"
"8","2","Dungna"
"9","2","Geling"
"10","2","Getena"
"11","2","Lokchina"
"12","2","Metedkha"
"13","2","Phuntsholing"
"14","2","Sampheling"
"15","3","Kalikhola"
"16","3","Lhamozingkha"
"17","3","Nichula"
"18","3","Karmaling"
"19","3","Goshi"
"20","3","Dorona"
"21","3","Drujaygang"
"22","3","Geserling"
"23","3","Kana"
"24","3","Khebisa"
"25","3","Lajab"
"26","3","Tashiding"
"27","3","Tsendagang"
"28","3","Tseza"
"29","3","Tshangkha"
"30","4","Goenkhatoe"
"31","4","Goenkhamae"
"32","4","Laya"
"33","4","Lunana"
"34","5","Bjee"
"35","5","Eusu"
"36","5","Gakiling"
"37","5","Katsho"
"38","5","Samar"
"39","5","Sombaykha"
"40","6","Gangzur"
"41","6","Jarrey"
"42","6","Khoma"
"43","6","Kurtoe"
"44","6","Menbi"
"45","6","Metsho"
"46","6","Minjey"
"47","6","Tsenkhar"
"48","7","Balam"
"49","7","Chali"
"50","7","Chaskhar"
"51","7","Drametshe"
"52","7","Drepong"
"53","7","Gongdue"
"54","7","Jurmey"
"55","7","Kengkhar"
"56","7","Mongar"
"57","7","Narang"
"58","7","Ngatshang"
"59","7","Saling"
"60","7","Sherimuhung"
"61","7","Silambi"
"62","7","Thangrong"
"63","7","Tsakaling"
"64","7","Tsamang"
"65","8","Dogar"
"66","8","Dopshari"
"67","8","Doteng"
"68","8","Hungrel"
"69","8","Lamgong"
"70","8","Lungnyi"
"71","8","Naja"
"72","8","Shaba"
"73","8","Tsento"
"74","8","Wangchang"
"75","9","Zobel"
"76","9","Yurung"
"77","9","Shumar"
"78","9","Norbugang"
"79","9","Nanong"
"80","9","Khar"
"81","9","Dungmaed"
"82","9","Dechhenling"
"83","9","Chongshing"
"84","9","Choekhorling"
"85","9","Chimung"
"86","10","Barp"
"87","10","Chhuboog"
"88","10","Dzomi"
"89","10","Toebisa"
"90","10","Toewang"
"91","10","Talo"
"92","10","Shenga Bjime"
"93","10","Lingmukha"
"94","10","Kabjisa"
"95","10","Guma"
"96","10","Goenshari"
"97","11","Deothang"
"98","11","Orong"
"99","11","Gomdar"
"100","11","Wangphu"
"101","11","Phuntshothang"
"102","11","Pemathang"
"103","11","Martshalla"
"104","11","Samrang"
"105","11","Langchenphu"
"106","11","Serthi"
"107","11","Lauri"
"108","12","Denchukha"
"109","12","Dungtoe"
"110","12","Dophuchen"
"111","12","Namgaychhoeling"
"112","12","Norboogang"
"113","12","Norgaygang"
"114","12","Pemaling"
"115","12","Phuentshogpelri"
"116","12","Samtse"
"117","12","Sangngagchhoeling"
"118","12","Tading"
"119","12","Tashichhoeling"
"120","12","Tendruk"
"121","12","Ugyentse"
"122","12","Yoeseltse"
"123","13","Samtenling"
"124","13","Churzagang"
"125","13","Dekeling"
"126","13","Chudzom"
"127","13","Gelephu"
"128","13","Gakidling"
"129","13","Jigmechoeling"
"130","13","Sengye"
"131","13","Sershong"
"132","13","Shompangkha"
"133","13","Tarayathang"
"134","13","Umling"
"135","14","Chang"
"136","14","Dagala"
"137","14","Geney"
"138","14","Kawang"
"139","14","Lingzhi"
"140","14","Naro"
"141","14","Soe"
"142","14","Mewang"
"143","15","Bumdeling"
"144","15","Jamkhar"
"145","15","Khamdang"
"146","15","Ramjar"
"147","15","Toetsho"
"148","15","Tongzhang"
"149","15","Yallang"
"150","15","Yangtse"
"151","16","Bartsham"
"152","16","Bidung"
"153","16","Kanglung"
"154","16","Khaling"
"155","16","Lumang"
"156","16","Merak"
"157","16","Phongmey"
"158","16","Radhi"
"159","16","Sakteng"
"160","16","Samkhar"
"161","16","Shongphu"
"162","16","Thrimshing"
"163","16","Udzorong"
"164","16","Yangnyer"
"165","17","Drakteng"
"166","17","Korphu"
"167","17","Langthel"
"168","17","Nubi"
"169","17","Tangsibje"
"170","18","Barshong"
"171","18","Dunglagang"
"172","18","Goserling"
"173","18","Kikorthang"
"174","18","Mendrelgang"
"175","18","Patshaling"
"176","18","Phuentenchu"
"177","18","Rangthaling"
"178","18","Semjong"
"179","18","Sergithang"
"180","18","Tsholingkhar"
"181","18","Tsirangtoe"
"182","19","Athang"
"183","19","Bjena"
"184","19","Daga"
"185","19","Dangchu"
"186","19","Gangtey"
"187","19","Gasetshog Gom"
"188","19","Gasetshog Wom"
"189","19","Kazhi"
"190","19","Nahi"
"191","19","Nyisho"
"192","19","Ruepisa"
"193","19","Phobjikha"
"194","19","Phangyul"
"195","19","Sephu"
"196","19","Thedtsho"
"197","20","Trong"
"198","20","Nangkhor"
"199","20","Bardo"
"200","20","Shingkhar"
"201","20","Goshing"
"202","20","Phangkhar"
"203","20","Bjoka"
"204","20","Ngangla"
"205","12","Chengmari"
"206","19","Bajo"
"207","13","Hilley"
"208","18","Beteni"
"209","11","Limbukha"
"210","13","pagli"
"211","2","Chapcha"
