"seed_id","donor_id","collection_rep","type","samplestatus_id","p_user_id","crop_name","family","genus","species","sub_texa","local_name","localvariety_name","material_type","classification","resistant","susceptible","important","p_stored_date"
"1","1","P/Y/P/2","passport","0","1","Little Millet","Poaceae","Panicum","miliaceum",,"Chera","Chera","Seed","Cereal",,,,"Old Data"
"2","2","P/Y/B/3","passport","0","1","Amaranthus","Amaranthaceae","Amaranthus","spp",,"Lhasamo","Lhasamo","Seed","Cereal",,,,"Old Data"
"3","3","P/Y/B/4","passport","0","1","Finger Millet","Poaceae","Eleusine","coracana",,"Kongpu","Kongpu","Seed","Cereal",,,,"Old Data"
"4","4","P/Y/P/5","passport","0","1","Rice bean","Fabaceae","Vigna","umbellata",,"Sinjay","Singay","Seed","Legumes",,,,"Old Data"
"5","5","P/Y/P/6","passport","2","1","Maize","Poaceae","Zea","mays",,"Ashom","Woolingpa Ashom","Seed","Cereal",,,,"Old Data"
"6","6","P/Y/K/7","passport","2","1","Sweet Buckwheat","Polygonaceae","Fagopyrum","esculentum",,"Braima","Braima","Seed","Cereal",,,,"Old Data"
"7","7","P/Y/K/8","passport","2","1","Foxtail Millet","Poaceae","Setaria","italica",,"Yangra","Yangra Tsalu","Seed","Cereal",,,,"Old Data"
"8","8","P/Y/K/9","passport","0","1","Rice bean","Fabaceae","Vigna","umbellata",,"Singay Tsalo","Singay Tsalo","Seed","Legumes",,,,"Old Data"
"9","9","P/Y/K/10","passport","0","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Patang Oray","Seed","Legumes",,,,"Old Data"
"10","10","P/Y/K/11","passport","0","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Abi Lhazom Oray","Seed","Legumes",,,,"Old Data"
"11","11","P/Y/G/1","passport","0","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Kharshing Oray","Seed","Legumes",,,,"Old Data"
"12","12","P/Y/K/12","passport","2","1","Bitter Buckwheat","Polygonaceae","Fagopyrum","tartaricum",,"Khala","Khala","Seed","Cereal",,,,"Old Data"
"13","13","P/Y/K/13","passport","2","1","Cowpea","Fabaceae","Vigna","unguiculata",,"Goibee","Goibee","Seed","Legumes",,,,"Old Data"
"14","14","P/Y/K/14","passport","2","1","Foxtail Millet","Poaceae","Setaria","italica",,"Yangra","Dani Shampin","Seed","Cereal",,,,"Old Data"
"15","15","P/Y/K/15","passport","2","1","Foxtail Millet","Poaceae","Setaria","italica",,"Yangra","Yangra Serbu","Seed","Cereal",,,,"Old Data"
"16","16","P/Y/K/16","passport","2","1","Foxtail Millet","Poaceae","Setaria","italica",,"Yangra","Rongshong Yangr","Seed","Cereal",,,,"Old Data"
"17","17","P/Y/K/17","passport","0","1","Cowpea","Fabaceae","Vigna","unguiculata",,"Nangmay","Nangmay","Seed","Legumes",,,,"Old Data"
"18","18","P/Y/K/18","passport","2","1","Maize","Poaceae","Zea","mays",,"Asham","Tshigsumpa","Seed","Cereal",,,,"Old Data"
"19","19","P/Y/B/19","passport","2","1","Foxtail Millet","Poaceae","Setaria","italica",,"Yangra","Chema Yangra","Seed","Cereal",,,,"Old Data"
"20","20","P/Y/K/20","passport","2","1","Soya bean","Fabaceae","Glycine","max",,"Lebi","Lebi","Seed","Oil",,,,"Old Data"
"21","21","P/Y/B/21","passport","2","1","Foxtail Millet","Poaceae","Setaria","italica",,"Yangra","Yangra Changlo","Seed","Cereal",,,,"Old Data"
"22","22","P/Y/T/75","passport","0","1","Maize","Poaceae","Zea","mays",,"Ashom","Tone Asham","Seed","Cereal",,,,"Old Data"
"23","23","P/Y/K/58","passport","2","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Abi Lhazom","Seed","Legumes",,,,"Old Data"
"24","24","P/Y/K/59","passport","0","1","Perilla","Lamiaceae","Perilla","frutescens",,"Nam","Nam","Seed","Oil",,,,"Old Data"
"25","25","P/Y/P/60","passport","0","1","Pea","Fabaceae","Pisum","sativum",,"Changma","Changma","Seed","Legumes",,,,"Old Data"
"26","26","P/Y/P/61","passport","0","1","Radish","Brassicaceae","Raphanus","sativus",,"Mulay","Local","Seed","Vegetable",,,,"Old Data"
"27","27","P/Y/Y/62","passport","2","1","Maize","Poaceae","Zea","mays",,"Asham","Asham","Seed","Cereal",,,,"Old Data"
"28","28","P/Y/Y/63","passport","0","1","Mustard","Brassicaceae","Brassica","campestris",,"Membu","Membu Serbu","Seed","Oil",,,,"Old Data"
"29","29","P/S/D/64","passport","2","1","Cowpea","Fabaceae","Vigna","unguiculata",,"Nangmay","Local Nangmay","Seed","Legumes",,,,"Old Data"
